code,reason
ASS,ASSEMBLY ERROR
COS,COSMETIC
DEF,Defective
ELE,ELECTRICAL
ENG,Engineering Error
INC,Incomplete
MEC,Mechanical
OE,ORDER ENTRY ERROR
PRO,ORDER PROCESSING ERROR
PAC,PACKING ERROR
PRD,PRODUCTION ERROR
QUO,QUOTATION ERROR
QC,QC Error
REP,Rep Error
SHIP,PICKING ERROR
SHIP,SHIPPING ERROR
SPEC,Specification Error
VEND,CUSTOMER ORDERING ERROR
CNN,CHANGES - NOT NEEDED
CRO,CHANGES -  REORDERED
SRT,Sample Return
VOID,VOIDING
DIT,Damaged In Transit
OTHER,OTHER
FRT,FREIGHT CARRIER ERROR
RWK,REWORK
